user_id,group,signup_date,repeat_purchase,location,loyalty_tier,revenue
U00001,A,2025-07-08,0,Dubai,Silver,36.64
U00002,A,2025-07-04,0,Abu Dhabi,Basic,79.57
U00003,A,2025-07-16,0,Dubai,Basic,78.37
U00004,A,2025-07-14,0,Dubai,Basic,100.32
U00005,A,2025-07-13,0,Dubai,Basic,52.57
U00006,B,2025-07-09,0,Abu Dhabi,Basic,61.62
U00007,B,2025-07-07,0,Dubai,Silver,0.0
U00008,A,2025-07-29,0,Ajman,Basic,98.51
U00009,A,2025-07-07,0,Abu Dhabi,Gold,57.16
U00010,B,2025-07-31,0,Dubai,Basic,54.02
U00011,A,2025-07-23,0,Sharjah,Silver,51.12
U00012,B,2025-07-04,0,Dubai,Silver,100.92
U00013,A,2025-07-04,0,Ajman,Basic,73.67
U00014,B,2025-07-07,0,Sharjah,Basic,61.96
U00015,A,2025-07-13,0,Dubai,Silver,51.99
U00016,B,2025-07-14,0,Dubai,Silver,113.16
U00017,A,2025-07-27,0,Ajman,Basic,39.35
U00018,B,2025-08-01,0,Abu Dhabi,Basic,74.34
U00019,A,2025-07-04,0,Sharjah,Silver,63.12
U00020,A,2025-07-30,0,Abu Dhabi,Basic,81.68
U00021,A,2025-07-12,0,Abu Dhabi,Basic,153.35
U00022,B,2025-07-29,0,Abu Dhabi,Silver,121.78
U00023,A,2025-07-23,1,Abu Dhabi,Silver,153.12
U00024,B,2025-07-13,1,Ajman,Basic,217.31
U00025,A,2025-07-24,0,Sharjah,Basic,39.73
U00026,B,2025-07-31,0,Ajman,Silver,24.58
U00027,B,2025-07-16,1,Abu Dhabi,Basic,72.47
U00028,A,2025-07-03,0,Sharjah,Silver,43.58
U00029,B,2025-07-10,0,Ajman,Basic,100.37
U00030,A,2025-07-23,0,Ajman,Basic,96.63
U00031,A,2025-07-19,0,Dubai,Basic,63.79
U00032,A,2025-07-16,0,Ajman,Basic,51.3
U00033,B,2025-07-10,1,Ajman,Basic,61.97
U00034,B,2025-07-13,0,Sharjah,Gold,118.49
U00035,A,2025-07-19,0,Dubai,Silver,105.39
U00036,B,2025-07-07,0,Sharjah,Basic,48.56
U00037,B,2025-07-07,1,Abu Dhabi,Basic,92.54
U00038,B,2025-07-21,1,Abu Dhabi,Basic,155.07
U00039,A,2025-07-07,0,Sharjah,Silver,114.86
U00040,A,2025-07-20,0,Abu Dhabi,Basic,80.15
U00041,A,2025-07-19,0,Dubai,Basic,58.04
U00042,B,2025-08-01,0,Dubai,Basic,77.87
U00043,B,2025-07-15,0,Sharjah,Basic,30.34
U00044,A,2025-07-05,0,Dubai,Basic,101.27
U00045,B,2025-07-25,1,Dubai,Gold,125.26
U00046,A,2025-07-29,0,Abu Dhabi,Silver,25.15
